Year,Month,Tmax
1948,january,8.9
1948,february,7.9
1948,march,14.2
1948,april,15.4
1948,may,18.1
1948,june,19.1
1948,july,21.7
1948,august,20.8
1948,september,19.6
1948,october,14.9
1948,november,10.8
1948,december,8.8
1949,january,8.5
1949,february,10.4
1949,march,9.3
1949,april,16.2
1949,may,17.1
1949,june,22
1949,july,25.1
1949,august,23.9
1949,september,22.8
1949,october,17
1949,november,10.2
1949,december,9.2
1950,january,7.1
1950,february,9.9
1950,march,12.3
1950,april,12.9
1950,may,17.2
1950,june,23.6
1950,july,21.6
1950,august,21.9
1950,september,17.6
1950,october,14
1950,november,9.3
1950,december,3.8
1951,january,7.3
1951,february,7
1951,march,8.4
1951,april,12.3
1951,may,15
1951,june,20.5
1951,july,23
1951,august,20.2
1951,september,19.2
1951,october,14.6
1951,november,11.8
1951,december,8.9
1952,january,6.2
1952,february,6.7
1952,march,10.6
1952,april,15.6
1952,may,19.6
1952,june,20.9
1952,july,23.3
1952,august,21.6
1952,september,16.4
1952,october,13.2
1952,november,7.5
1952,december,5.8
1953,january,5.6
1953,february,7.5
1953,march,11.1
1953,april,13.1
1953,may,18.7
1953,june,19.8
1953,july,21
1953,august,22.6
1953,september,19.5
1953,october,14.7
1953,november,11.3
1953,december,10
1954,january,5.9
1954,february,6.1
1954,march,10.4
1954,april,13.2
1954,may,16.8
1954,june,18.6
1954,july,19.2
1954,august,19.8
1954,september,18
1954,october,16.2
1954,november,11.2
1954,december,9.7
1955,january,5.6
1955,february,5
1955,march,7.9
1955,april,15.2
1955,may,15.5
1955,june,20
1955,july,24.4
1955,august,24.3
1955,september,19.9
1955,october,13.5
1955,november,10.7
1955,december,9.5
1956,january,7
1956,february,2.9
1956,march,11
1956,april,12.1
1956,may,19.1
1956,june,18.5
1956,july,20.9
1956,august,18.8
1956,september,19.2
1956,october,13.8
1956,november,9.3
1956,december,8.2
1957,january,8.7
1957,february,9
1957,march,13.9
1957,april,14.2
1957,may,16.2
1957,june,23.6
1957,july,22.5
1957,august,21.1
1957,september,17.6
1957,october,15.5
1957,november,9.4
1957,december,7.6
1958,january,6.8
1958,february,8.9
1958,march,8.1
1958,april,12.3
1958,may,17.3
1958,june,19.4
1958,july,21.7
1958,august,20.8
1958,september,20
1958,october,14.9
1958,november,9.7
1958,december,8
1959,january,5.7
1959,february,7.4
1959,march,11.9
1959,april,14.2
1959,may,18.7
1959,june,22.1
1959,july,24.7
1959,august,24.2
1959,september,22.7
1959,october,17.8
1959,november,10.8
1959,december,9.3
1960,january,6.9
1960,february,7.9
1960,march,10.2
1960,april,14.3
1960,may,18.4
1960,june,22.1
1960,july,20.1
1960,august,20.3
1960,september,18.5
1960,october,14.2
1960,november,11.2
1960,december,6.9
1961,january,6.9
1961,february,10.3
1961,march,13.9
1961,april,15
1961,may,16.8
1961,june,21.7
1961,july,22.1
1961,august,21.7
1961,september,20.9
1961,october,15.6
1961,november,9.9
1961,december,6.8
1962,january,7.9
1962,february,7.6
1962,march,7.4
1962,april,12.7
1962,may,15
1962,june,20.4
1962,july,20.6
1962,august,20
1962,september,17.8
1962,october,15.7
1962,november,9.1
1962,december,5
1963,january,0.8
1963,february,2.8
1963,march,10.7
1963,april,13.6
1963,may,16
1963,june,20.8
1963,july,21.1
1963,august,19.8
1963,september,18
1963,october,14.8
1963,november,11.8
1963,december,5.4
1964,january,5.8
1964,february,7.6
1964,march,7.6
1964,april,12.8
1964,may,19.6
1964,june,19.3
1964,july,22.8
1964,august,22.3
1964,september,21.1
1964,october,13.7
1964,november,11.2
1964,december,7.1
1965,january,6.6
1965,february,5.9
1965,march,10.5
1965,april,13.4
1965,may,16.8
1965,june,19.7
1965,july,19.3
1965,august,20.8
1965,september,17.4
1965,october,16.2
1965,november,8.4
1965,december,8.4
1966,january,5.3
1966,february,9.3
1966,march,10.9
1966,april,12.2
1966,may,17
1966,june,21.8
1966,july,20.1
1966,august,20.6
1966,september,19.6
1966,october,14.7
1966,november,8.8
1966,december,9.3
1967,january,7.3
1967,february,9.3
1967,march,11.6
1967,april,12.5
1967,may,15.6
1967,june,20.1
1967,july,23.5
1967,august,21.5
1967,september,18.5
1967,october,15
1967,november,9.7
1967,december,7.2
1968,january,7.2
1968,february,5.7
1968,march,11.1
1968,april,13.7
1968,may,15.4
1968,june,20.6
1968,july,20.7
1968,august,20.2
1968,september,18.8
1968,october,16.5
1968,november,9.5
1968,december,5.4
1969,january,8.9
1969,february,4.9
1969,march,8
1969,april,13.6
1969,may,17.1
1969,june,20.6
1969,july,23.9
1969,august,21.8
1969,september,19.6
1969,october,18.2
1969,november,9.6
1969,december,6.1
1970,january,7.1
1970,february,7.2
1970,march,8.1
1970,april,11.4
1970,may,19.2
1970,june,23.6
1970,july,21.3
1970,august,22.3
1970,september,20.3
1970,october,15.7
1970,november,11.9
1970,december,7
1971,january,7.8
1971,february,8.6
1971,march,9.1
1971,april,12.2
1971,may,18.1
1971,june,17.8
1971,july,24.1
1971,august,21.3
1971,september,20.7
1971,october,17.2
1971,november,10.4
1971,december,9.3
1972,january,6.9
1972,february,7.9
1972,march,12.4
1972,april,12.9
1972,may,16
1972,june,17.5
1972,july,22.3
1972,august,21.8
1972,september,17.3
1972,october,15.6
1972,november,9.9
1972,december,9.4
1973,january,7.3
1973,february,8.1
1973,march,11.5
1973,april,12.5
1973,may,16.9
1973,june,21.9
1973,july,21.4
1973,august,23.7
1973,september,20.7
1973,october,13.9
1973,november,10.3
1973,december,8.6
1974,january,9.6
1974,february,9.2
1974,march,10.3
1974,april,14
1974,may,17
1974,june,20.1
1974,july,20.9
1974,august,21.5
1974,september,17.5
1974,october,11
1974,november,10.6
1974,december,11
1975,january,10.3
1975,february,9.3
1975,march,8.4
1975,april,13.3
1975,may,15.1
1975,june,21.8
1975,july,24.1
1975,august,25.9
1975,september,19.5
1975,october,14.4
1975,november,10.1
1975,december,7.6
1976,january,8.8
1976,february,7.8
1976,march,9.5
1976,april,13.7
1976,may,19.3
1976,june,25.5
1976,july,26.6
1976,august,25.1
1976,september,19
1976,october,14.9
1976,november,9.9
1976,december,5.6
1977,january,6.1
1977,february,9.6
1977,march,11.2
1977,april,12.2
1977,may,16.4
1977,june,17.4
1977,july,22.4
1977,august,20.3
1977,september,18
1977,october,16.3
1977,november,10.4
1977,december,9.2
1978,january,6.7
1978,february,6.2
1978,march,11.3
1978,april,10.7
1978,may,17.2
1978,june,19.7
1978,july,20.5
1978,august,20.7
1978,september,20.1
1978,october,17.1
1978,november,12.6
1978,december,7.8
1979,january,3.8
1979,february,4.5
1979,march,9.2
1979,april,12.7
1979,may,15.9
1979,june,19
1979,july,22.5
1979,august,21
1979,september,19.6
1979,october,16.4
1979,november,10.8
1979,december,9.2
1980,january,6
1980,february,9.9
1980,march,9
1980,april,14
1980,may,17.3
1980,june,19.8
1980,july,19.7
1980,august,21.9
1980,september,20.1
1980,october,14
1980,november,9.3
1980,december,8.9
1981,january,8.1
1981,february,7.1
1981,march,11.8
1981,april,12.9
1981,may,16.1
1981,june,18.5
1981,july,22
1981,august,22.8
1981,september,20.3
1981,october,12.9
1981,november,11.5
1981,december,4.4
1982,january,6.9
1982,february,8.4
1982,march,11.1
1982,april,14.3
1982,may,18
1982,june,21.5
1982,july,22.7
1982,august,22.2
1982,september,20.8
1982,october,14.1
1982,november,11.4
1982,december,8.2
1983,january,10
1983,february,5.5
1983,march,10.8
1983,april,12.4
1983,may,15.6
1983,june,20.8
1983,july,27.6
1983,august,24.5
1983,september,19.3
1983,october,15.1
1983,november,11.3
1983,december,9.2
1984,january,8
1984,february,7.4
1984,march,8.9
1984,april,14.6
1984,may,14.9
1984,june,21.3
1984,july,24.2
1984,august,24.4
1984,september,18.6
1984,october,15.8
1984,november,12.2
1984,december,8.7
1985,january,4.1
1985,february,6.3
1985,march,9.4
1985,april,14
1985,may,16.4
1985,june,18.5
1985,july,22.9
1985,august,20.3
1985,september,20.6
1985,october,16.1
1985,november,8.1
1985,december,10
1986,january,7.2
1986,february,1.7
1986,march,10.1
1986,april,10.9
1986,may,16.3
1986,june,21.8
1986,july,22.6
1986,august,20
1986,september,17.4
1986,october,16.4
1986,november,12.1
1986,december,9.7
1987,january,3.6
1987,february,7.7
1987,march,8.5
1987,april,15.8
1987,may,16.3
1987,june,18.6
1987,july,21.8
1987,august,21.8
1987,september,19.3
1987,october,15
1987,november,9.8
1987,december,8.9
1988,january,8.8
1988,february,8.7
1988,march,10.7
1988,april,13.5
1988,may,18
1988,june,19.7
1988,july,20
1988,august,21.8
1988,september,18.8
1988,october,15.5
1988,november,9.9
1988,december,10.4
1989,january,9.5
1989,february,10.2
1989,march,12.9
1989,april,11.5
1989,may,21
1989,june,22.1
1989,july,25.8
1989,august,24.2
1989,september,20.7
1989,october,17.1
1989,november,10.9
1989,december,9.4
1990,january,10.2
1990,february,11.7
1990,march,13.6
1990,april,14.6
1990,may,20.5
1990,june,19.5
1990,july,24.7
1990,august,26
1990,september,19.7
1990,october,16.9
1990,november,10.7
1990,december,7.6
1991,january,7.3
1991,february,5.4
1991,march,12.5
1991,april,13.1
1991,may,15.7
1991,june,17.8
1991,july,23.2
1991,august,24.1
1991,september,21.4
1991,october,14.6
1991,november,10.6
1991,december,8.3
1992,january,7.5
1992,february,9.5
1992,march,11.8
1992,april,14
1992,may,21
1992,june,22.5
1992,july,22.5
1992,august,21.7
1992,september,18.9
1992,october,12.5
1992,november,12
1992,december,7.8
1993,january,10.3
1993,february,7.2
1993,march,11.8
1993,april,14.6
1993,may,18
1993,june,21.8
1993,july,21.6
1993,august,21.6
1993,september,17.5
1993,october,13
1993,november,8.8
1993,december,9.2
1994,january,9.3
1994,february,7.7
1994,march,12.3
1994,april,13.3
1994,may,16
1994,june,21.5
1994,july,26.2
1994,august,23
1994,september,17.8
1994,october,15.4
1994,november,13.6
1994,december,10.7
1995,january,8.9
1995,february,10.7
1995,march,11.2
1995,april,15
1995,may,19
1995,june,20.7
1995,july,26.3
1995,august,27
1995,september,19.2
1995,october,18.3
1995,november,12
1995,december,5.8
1996,january,7.2
1996,february,6.8
1996,march,8.6
1996,april,14.3
1996,may,15.1
1996,june,22.8
1996,july,24.2
1996,august,23.1
1996,september,19.2
1996,october,16.6
1996,november,10.5
1996,december,6.2
1997,january,5.5
1997,february,10.8
1997,march,13.8
1997,april,15.6
1997,may,18.7
1997,june,20.2
