Year,Renewables,Nuclear
1985,20.826,15.07
1986,20.564,15.673
1987,19.93,16.265
1988,19.698,16.985
1989,18.833,16.69
1990,19.067,16.73
1991,19.119,17.156
1992,19.021,17.13
1993,19.718,17.351
1994,19.394,17.232
1995,19.745,17.363
1996,19.442,17.454
1997,19.406,16.928
1998,19.117,16.765
1999,18.804,16.922
2000,19.19,16.73
2001,18.522,16.926
2002,18.32,16.529
2003,17.865,15.812
2004,18.402,15.698
2005,18.547,15.133
2006,18.64,14.737
2007,18.346,13.78
2008,19.347,13.518
2009,19.912,13.391
2010,20.086,12.862
2011,20.37,11.905
2012,21.391,10.879
2013,22.152,10.643
2014,22.786,10.594
2015,23.431,10.616
2016,24.256,10.469
2017,25.076,10.243
2018,25.763,10.134
2019,26.711,10.36
2020,28.522,10.096
2021,28.317,9.94
